Index,Units_Allocated,Predicted_Sales
0,0.0,3190.6630204686926
1,0.12513675,799.1257742411228
2,0.0,178.8425156530643
3,0.0,2880.521391174663
4,0.0,722.0333386302855
5,0.0,736.3753410341694
6,0.0,2663.586086746035
7,,0.0
8,0.0,872.6410546309112
9,,0.0
10,0.0,411.8917093362563
11,,0.0
12,0.0,345.5641209082541
13,0.0,1803.0659425129984
14,,0.0
15,,0.0
16,0.0,1492.9243132189697
17,0.0,2880.521391174663
18,0.0,1492.9243132189697
19,0.0,722.0333386302855
20,,0.0
21,0.0,655.7057502022833
22,0.0,230.82810167718253
23,0.0,3810.9462790567504
24,0.0,722.0333386302855
25,,0.0
26,0.0,178.8425156530643
27,,0.0
28,0.0,872.6410546309112
29,0.0,872.6410546309112
30,0.0,1182.7826839249403
31,0.0,736.3753410341694
32,0.0,1492.9243132189697
33,0.0,488.9841449470937
34,0.0,1159.48110270859
35,0.0,1469.622732002619
36,0.0,230.82810167718253
37,,0.0
38,,0.0
39,0.0,1779.7643612966483
40,0.0,1182.7826839249403
41,0.0,722.0333386302855
42,0.0,793.7433506497052
43,0.0,2089.905990590678
44,,0.0
45,,0.0
46,0.0,851.1113602652408
47,,0.0
48,0.0,178.8425156530643
49,0.0,2043.302828157977
